glyph_name,new_name,ps_name,usv,
space,space,space,0020,
exclam,exclam,exclam,0021,
quotedbl,quotedbl,quotedbl,0022,
numbersign,numbersign,numbersign,0023,
dollar,dollar,dollar,0024,
percent,percent,percent,0025,
parenleft,parenleft,parenleft,0028,
parenright,parenright,parenright,0029,
asterisk,asterisk,asterisk,002A,
plus,plus,plus,002B,
comma,comma,comma,002C,
hyphen,hyphen,hyphen,002D,
period,period,period,002E,
slash,slash,slash,002F,
zero,zero,zero,0030,
one,one,one,0031,
two,two,two,0032,
three,three,three,0033,
four,four,four,0034,
five,five,five,0035,
six,six,six,0036,
seven,seven,seven,0037,
eight,eight,eight,0038,
nine,nine,nine,0039,
colon,colon,colon,003A,
less,less,less,003C,
equal,equal,equal,003D,
greater,greater,greater,003E,
U0700,paragraph-syriac,uni0700,0700,
U0701,fullstopSupralinear-syriac,uni0701,0701,
U0702,fullstopSublinear-syriac,uni0702,0702,
U0703,colonSupralinear-syriac,uni0703,0703,
U0704,colonSublinear-syriac,uni0704,0704,
U0705,colonHorizontal-syriac,uni0705,0705,
U0706,colonSkewedleft-syriac,uni0706,0706,
U0707,colonSkewedright-syriac,uni0707,0707,
U0708,colonSkewedleftSupralinear-syriac,uni0708,0708,
U0709,colonSkewedrightSublinear-syriac,uni0709,0709,
U070a,contraction-syriac,uni070A,070A,
U070b,harkleanObelus-syriac,uni070B,070B,
U070c,harkleanMetobelus-syriac,uni070C,070C,
U070d,harkleanAsteriscus-syriac,uni070D,070D,
U070f,abbreviation-syriac,uni070F,070F,
U0710,alaph-syriac,uni0710,0710,
U0710Medi2,alaph-syriac.medi,uni0710.medi,,
U0710Fina1,alaph-syriac.fina,uni0710.fina,,
U0710Fina2,alaph-syriac.fina.alt2,uni0710.fina.alt2,,
U0710Fina3,alaph-syriac.fina.alt3,uni0710.fina.alt3,,
U0711,alaphSuperscript-syriac,uni0711,0711,
U0712,beth-syriac,uni0712,0712,
U0712Init,beth-syriac.init,uni0712.init,,
U0712Medi,beth-syriac.medi,uni0712.medi,,
U0712Fina,beth-syriac.fina,uni0712.fina,,
U0713,gamal-syriac,uni0713,0713,
U0713Init,gamal-syriac.init,uni0713.init,,
U0713Medi,gamal-syriac.medi,uni0713.medi,,
U0713Fina,gamal-syriac.fina,uni0713.fina,,
U0714,gamalgarshuni-syriac,uni0714,0714,
U0714Init,gamalgarshuni-syriac.init,uni0714.init,,
U0714Medi,gamalgarshuni-syriac.medi,uni0714.medi,,
U0714Fina,gamalgarshuni-syriac.fina,uni0714.fina,,
U0715,dalath-syriac,uni0715,0715,
U0715Fina,dalath-syriac.fina,uni0715.fina,,
U0715U073C,dalath_hbasaEsasadotted-syriac,uni0715073C,,
U0715FinaU073C,dalath_hbasaEsasadotted-syriac.fina,uni0715073C.fina,,
U0716,dalathrishDotless-syriac,uni0716,0716,
U0716Fina,dalathrishDotless-syriac.fina,uni0716.fina,,
U0717,he-syriac,uni0717,0717,
U0717Fina,he-syriac.fina,uni0717.fina,,
U0717U071dIsol,he_yudh-syriac,uni0717071D,,
U0717U071dFina,he_yudh-syriac.fina,uni0717071D.fina,,
U0718,waw-syriac,uni0718,0718,
U0718Fina,waw-syriac.fina,uni0718.fina,,
U0719,zain-syriac,uni0719,0719,
U0719Fina,zain-syriac.fina,uni0719.fina,,
U071a,heth-syriac,uni071A,071A,
U071aInit,heth-syriac.init,uni071A.init,,
U071aMedi,heth-syriac.medi,uni071A.medi,,
U071aFina,heth-syriac.fina,uni071A.fina,,
U071b,teth-syriac,uni071B,071B,
U071bInit,teth-syriac.init,uni071B.init,,
U071bMedi,teth-syriac.medi,uni071B.medi,,
U071bFina,teth-syriac.fina,uni071B.fina,,
U071c,tethGarshuni-syriac,uni071C,071C,
U071cInit,tethGarshuni-syriac.init,uni071C.init,,
U071cMedi,tethGarshuni-syriac.medi,uni071C.medi,,
U071cFina,tethGarshuni-syriac.fina,uni071C.fina,,
U071d,yudh-syriac,uni071D,071D,
U071dInit,yudh-syriac.init,uni071D.init,,
U071dMedi,yudh-syriac.medi,uni071D.medi,,
U071dFina,yudh-syriac.fina,uni071D.fina,,
U071e,yudhhe-syriac,uni071E,071E,
U071eFina,yudhhe-syriac.fina,uni071E.fina,,
U071f,kaph-syriac,uni071F,071F,
U071fInit,kaph-syriac.init,uni071F.init,,
U071fMedi,kaph-syriac.medi,uni071F.medi,,
U071fFina,kaph-syriac.fina,uni071F.fina,,
U0720,lamadh-syriac,uni0720,0720,
U0720Init,lamadh-syriac.init,uni0720.init,,
U0720Medi,lamadh-syriac.medi,uni0720.medi,,
U0720Fina,lamadh-syriac.fina,uni0720.fina,,
U0720U0710Isol,lamadh_alaph-syriac,uni07200710,,
U0720U0710Fina,lamadh_alaph-syriac.fina,uni07200710.fina,,
U0721,mim-syriac,uni0721,0721,
U0721Init,mim-syriac.init,uni0721.init,,
U0721Medi,mim-syriac.medi,uni0721.medi,,
U0721Fina,mim-syriac.fina,uni0721.fina,,
U0722,nun-syriac,uni0722,0722,
U0722Init,nun-syriac.init,uni0722.init,,
U0722Medi,nun-syriac.medi,uni0722.medi,,
U0722Fina,nun-syriac.fina,uni0722.fina,,
U0723,semkath-syriac,uni0723,0723,
U0723Init,semkath-syriac.init,uni0723.init,,
U0723Medi,semkath-syriac.medi,uni0723.medi,,
U0723Fina,semkath-syriac.fina,uni0723.fina,,
U0724,semkathFinal-syriac,uni0724,0724,
U0724Init,semkathFinal-syriac.init,uni0724.init,,
U0724Medi,semkathFinal-syriac.medi,uni0724.medi,,
U0724Fina,semkathFinal-syriac.fina,uni0724.fina,,
U0725,e-syriac,uni0725,0725,
U0725Init,e-syriac.init,uni0725.init,,
U0725Medi,e-syriac.medi,uni0725.medi,,
U0725Fina,e-syriac.fina,uni0725.fina,,
U0726,pe-syriac,uni0726,0726,
U0726Init,pe-syriac.init,uni0726.init,,
U0726Medi,pe-syriac.medi,uni0726.medi,,
U0726Fina,pe-syriac.fina,uni0726.fina,,
U0726U032e,pe_brevebelowcomb-syriac,uni0726032E,,
U0726InitU032e,pe_brevebelowcomb-syriac.init,uni0726032E.init,,
U0726MediU032e,pe_brevebelowcomb-syriac.medi,uni0726032E.medi,,
U0726FinaU032e,pe_brevebelowcomb-syriac.fina,uni0726032E.fina,,
U0727,reversedpe-syriac,uni0727,0727,
U0727Init,reversedpe-syriac.init,uni0727.init,,
U0727Medi,reversedpe-syriac.medi,uni0727.medi,,
U0727Fina,reversedpe-syriac.fina,uni0727.fina,,
U0728,sadhe-syriac,uni0728,0728,
U0728Fina,sadhe-syriac.fina,uni0728.fina,,
U0728U0722Isol,sadhe_nun-syriac,uni07280722,,
U0728U0722Fina,sadhe_nun-syriac.fina,uni07280722.fina,,
U0729,qaph-syriac,uni0729,0729,
U0729Init,qaph-syriac.init,uni0729.init,,
U0729Medi,qaph-syriac.medi,uni0729.medi,,
U0729Fina,qaph-syriac.fina,uni0729.fina,,
U072a,rish-syriac,uni072A,072A,
U072aFina,rish-syriac.fina,uni072A.fina,,
U072aU0308Isol,rish_dieresiscomb-syriac,uni072A0308,,
U072aU0308Fina,rish_dieresiscomb-syriac.fina,uni072A0308.fina,,
U072b,shin-syriac,uni072B,072B,
U072bInit,shin-syriac.init,uni072B.init,,
U072bMedi,shin-syriac.medi,uni072B.medi,,
U072bFina,shin-syriac.fina,uni072B.fina,,
U072c,taw-syriac,uni072C,072C,
U072cFina,taw-syriac.fina,uni072C.fina,,
U072cU0710Isol,taw_alaph-syriac,uni072C0710,,
U072cU0710Fina,taw_alaph-syriac.fina,uni072C0710.fina,,
U072cU0710IsolAlt,taw_alaph-syriac.alt,uni072C0710.alt,,
U072cU0710FinaAlt,taw_alaph-syriac.fina.alt,uni072C0710.fina.alt,,
U072cU0710IsolAlt3,taw_alaph-syriac.alt3,uni072C0710.alt3,,
U072cU0710FinaAlt3,taw_alaph-syriac.fina.alt3,uni072C0710.fina.alt3,,
U072cU071dIsol,taw_yudh-syriac,uni072C071D,,
U072cU071dFina,taw_yudh-syriac.fina,uni072C071D.fina,,
U0730,pthahaabove-syriac,uni0730,0730,
U0731,pthahabelow-syriac,uni0731,0731,
U0732,pthahadotted-syriac,uni0732,0732,
U0733,zqaphaabove-syriac,uni0733,0733,
U0734,zqaphabelow-syriac,uni0734,0734,
U0735,zqaphadotted-syriac,uni0735,0735,
U0736,rbasaabove-syriac,uni0736,0736,
U0737,rbasabelow-syriac,uni0737,0737,
U0738,zlamadottedhorizontal-syriac,uni0738,0738,
U0739,zlamadottedangular-syriac,uni0739,0739,
U073a,hbasaabove-syriac,uni073A,073A,
U073b,hbasabelow-syriac,uni073B,073B,
U073c,hbasaEsasadotted-syriac,uni073C,073C,
U073d,esasaabove-syriac,uni073D,073D,
U073e,esasabelow-syriac,uni073E,073E,
U073f,rwaha-syriac,uni073F,073F,
U0740,femininedot-syriac,uni0740,0740,
U0741,qushshaya-syriac,uni0741,0741,
U0742,rukkakha-syriac,uni0742,0742,
U0743,twodotsverticalabove-syriac,uni0743,0743,
U0744,twodotsverticalbelow-syriac,uni0744,0744,
U0745,threedotsabove-syriac,uni0745,0745,
U0746,threedotsbelow-syriac,uni0746,0746,
U0747,obliquelineabove-syriac,uni0747,0747,
U0748,obliquelinebelow-syriac,uni0748,0748,
U0749,music-syriac,uni0749,0749,
U074a,barrekh-syriac,uni074A,074A,
U2670,westSyriacCross,uni2670,2670,
U2671,eastSyriacCross,uni2671,2671,
U0303,tildecomb,uni0303,0303,
U0304,macroncomb,uni0304,0304,
U0307,dotaccentcomb,uni0307,0307,
U0308,dieresiscomb,uni0308,0308,
U030a,ringcomb,uni030A,030A,
U0323,dotbelowcomb,uni0323,0323,
PtakhaDotAbove,dotaboveleftcomb,uni1DF8,1DF8,
PtakhaDotBelow,dotbelowleftcomb,uni1DFA,1DFA,
U0324,dieresisbelowcomb,uni0324,0324,
U0325,ringbelowcomb,uni0325,032D,
U032e,brevebelowcomb,uni032E,032E,
U0330,tildebelowcomb,uni0330,0330,
U0331,macronbelowcomb,uni0331,0331,
U060c,comma-ar,uni060C,060C,
U061b,semicolon-ar,uni061B,061B,
U061f,question-ar,uni061F,061F,
U0640,kashida-ar,uni0640,0640,
U0640ThreeQuart,U0640ThreeQuart,uni0640.threequarter,,
U0640Quart,U0640Quart,uni0640.quarter,,
U0640Half,U0640Half,uni0640.half,,
U0651,shadda-ar,uni0651,0651,
quoteleft,quoteleft,quoteleft,2018,
quoteright,quoteright,quoteright,2019,
quotedblleft,quotedblleft,quotedblleft,201C,
quotedblright,quotedblright,quotedblright,201D,
U02c0,glottalstopmod,uni02C0,02C0,
U02c1,glottalstopreversedmod,uni02C1,02C1,
overscore,overline,uni203E,203E,
U02d2,ringhalfrightcentered,uni02D2,02D2,
U02d3,ringhalfleftcentered,uni02D3,02D3,
